"Organization - ID","Organization - Name","Organization - Labels","Organization - Open deals","Organization - Activities to do","Organization - Industry","Organization - Odoo Status","Organization - Website ","Organization - Website","Organization - Address","Organization - Region of Address","Organization - State/county of Address","Organization - Owner","Organization - People"
"17","Brigantia Partners Limited","Prospect","0","1","ITAD","SLM","","","Ripon","North Yorkshire","England","Daniel Ainsworth","1"
"18","Bristol Waste Company","Fresh Data","0","0","ITAD","","","","Bristol","Bristol City","England","Daniel Ainsworth","0"
"19","CDL","Incorrect Profile","0","0","ITAD","","","","","","","Daniel Ainsworth","1"
"20","Capital IT Services Ltd.","Prospect","0","0","IT Service Provider","","http://www.capitalitservices.co.uk","","Unit 10A, Boyton Hall Lane, Roxwell, Chelmsford CM1 4LN","Essex","England","Daniel Ainsworth","0"
"21","CCL (NORTH) Ltd","Warm lead","0","1","ITAD","SLM","","","Irvine","Orange County","California","Daniel Ainsworth","2"
"22","Centerprise International","Hot lead","0","0","ITAD","","http://www.centerprise.co.uk","","","","","Daniel Ainsworth","1"
"23","Charterhouse Muller UK Limited","Hot lead","1","0","ITAD","SLM","https://www.charterhousemuller.com/","","Reading","","","Daniel Ainsworth","4"
"24","CHB Global Ltd.","Prospect","0","1","ITAD","SLM","","","Cheltenham","Gloucestershire","England","Daniel Ainsworth","1"
"25","Cherry tree 4 you","Unqualified","0","0","ITAD","SLM","","","Nuneaton","Warwickshire","England","Daniel Ainsworth","1"
"26","Cheshire IT Consultancy Ltd","Warm lead","0","0","ITAD","SLM","","","Altrincham","Greater Manchester","England","Daniel Ainsworth","1"
"27","Clarion Communication Systems Ltd.","Prospect","0","2","ITAD","","http://www.clarioncommunicationsystems.com","","Units 1-2 Prime Buildings, RH14 9SJ Billingshurst, West Sussex, United Kingdom","West Sussex","England","Daniel Ainsworth","2"
"28","Clevermed Ltd","Incorrect Profile","0","0","ITAD","SLM","","","Edinburgh","Edinburgh","Scotland","Daniel Ainsworth","0"
"29","Cloud4C Services","Prospect","0","0","Data Centre","","https://www.cloud4c.com/","","","","","Daniel Ainsworth","4"
"30","CM NewTech LTD","Dissolved","0","0","ITAD","SLM","","","Preston","","","Daniel Ainsworth","2"
"31","CodeFirst","Unqualified","0","0","","","https://www.codefirst.co.uk/","","","","","Daniel Ainsworth","1"
"32","Commercial Ltd.","Customer","0","1","ITAD","SLM","","","Leckhampton,Cheltenham","Gloucestershire","England","Daniel Ainsworth","4"
"33","ComplyIT Ltd","Customer","0","1","ITAD","SLM","","","Stockton-On-Tees","Stockton-on-Tees","England","Daniel Ainsworth","1"
"34","Computer Data Source, Inc","","0","0","ITAD","","","","Hampshire","Hampshire","England","Daniel Ainsworth","0"
"35","Computer Home Intelligence","Warm lead","0","0","ITAD","","https://www.computerhomeintelligence.co.uk/","","Maple Leaf Industrial Estate, Bloxwich Lane, Walsall WS2 8TF, UK","West Midlands","England","Daniel Ainsworth","1"
"36","Computer Recyclers uk","Warm lead","0","2","ITAD","","http://www.computerrecyclersuk.com/","","","","","Daniel Ainsworth","2"
"37","Computer Remarketing Services Ltd.","","0","0","ITAD","","","","Milton Keynes","Milton Keynes","England","Daniel Ainsworth","0"
"38","Computer Waste LTD","Prospect","0","1","ITAD","","https://www.computer-waste.co.uk/","","","","","Daniel Ainsworth","1"
"39","Concept Management Consulting Limited","Warm lead","0","0","ITAD","","conceptmanagement.co.uk","","Bolton","Chittenden County","Vermont","Daniel Ainsworth","2"
"40","CORPORATE-MAX","Unqualified","0","0","ITAD","SLM","","","MIDDLESEX","","","Daniel Ainsworth","0"
"41","Covenco UK Ltd.","Prospect","0","1","ITAD","SLM","","","Oxfordshire","Oxfordshire","England","Daniel Ainsworth","1"
"42","CRT UK Ltd","Warm lead","0","1","ITAD","SLM","","","Warrington","Warrington","England","Daniel Ainsworth","2"
"43","CSL Associates Limited","Prospect","0","0","ITAD","","","","Bromsgrove","Worcestershire","England","Daniel Ainsworth","0"
"44","MGS - Mac Group Solutions Ltd","Incorrect Profile","0","0","ITAD","","","","","","","Daniel Ainsworth","1"
"45","Cyberfort Limited","Prospect","0","0","IT Service Provider","","http://www.cyberfortgroup.com/","","","","","Daniel Ainsworth","2"
"46","Cyxtera","Warm lead","0","0","Data Centre","","http://www.cyxtera.com/","","","","","Daniel Ainsworth","8"
"47","Datatek Ltd.","No Requirement","0","0","ITAD","","","","Manchester","Greater Manchester","England","Daniel Ainsworth","0"
"48","Datawipe Limited","","0","0","ITAD","","","","Liverpool","","","Daniel Ainsworth","0"
"49","DE5 Consulting​ Ltd.","Unqualified","0","0","ITAD","SLM","","","Nottingham","Nottingham","England","Daniel Ainsworth","0"
"50","DemarcIT Limited","","0","0","ITAD","","","","Preston","","","Daniel Ainsworth","0"
"51","Digital Growth - IT recycling","Customer","0","1","ITAD","SLM","","","Ilford","Greater London","England","Daniel Ainsworth","1"
"52","Digital Recycle Ltd","Prospect","0","0","ITAD","SLM","","","Newport","Newport County","Rhode Island","Daniel Ainsworth","1"
"53","Discount & ex Inventory Ltd","Warm lead","0","1","ITAD","SLM","","","Strabane","Derry and Strabane","Northern Ireland","Daniel Ainsworth","1"
"54","Disklabs Ltd","Use another supplier","0","1","ITAD","SLM","","","Tamworth","Staffordshire","England","Daniel Ainsworth","1"
"55","DSA Connect","Warm lead","0","0","ITAD","","https://www.dsa-connect.co.uk/","","Brentwood","","","Daniel Ainsworth","3"
"56","E-Cycle Ltd","Hot lead","0","0","ITAD","SLM","https://www.ecyclegroup.co.uk/","","Tonypandy","Rhondda Cynon Taff","Wales","Daniel Ainsworth","3"
"57","ECD / Euro Communications Distribution Ltd","Prospect","0","1","ITAD","SLM","","","Wolverhampton","West Midlands","England","Daniel Ainsworth","1"
"58","Eco IT Solutions","Prospect","0","1","ITAD","","http://www.ecoitsolutions.com","","","","","Daniel Ainsworth","1"
"59","EcoRenew UK","","0","0","ITAD","","","","London","Greater London","England","Daniel Ainsworth","0"
"60","Ecosalve Ltd","Customer","0","1","ITAD","SLM","https://ecosalv.com/","","","","","Daniel Ainsworth","1"
"61","Eden Nuclear and Environment Ltd","Prospect","0","1","ITAD","SLM","","","Penrith","Cumbria","England","Daniel Ainsworth","1"
"62","EEESafe Ltd","","0","0","ITAD","","","","Swansea","Swansea","Wales","Daniel Ainsworth","0"
"63","EGO Technology Ltd.","Customer","0","0","ITAD","SLM","","","Burton-On-Trent","Staffordshire","England","Daniel Ainsworth","1"
"64","Electronic Waste Recycling Ltd","Customer","0","1","ITAD","SLM","","","Herts","Hertfordshire","England","Daniel Ainsworth","3"
"65","ENG-IT","Unqualified","0","0","IT Service Provider","","http://www.eng-it.co.uk/","","","","","Daniel Ainsworth","1"
"66","Enter IT","Prospect","0","1","ITAD","SLM","","","Redcar","Redcar and Cleveland","England","Daniel Ainsworth","1"
"67","EOL IT Services","Prospect","0","2","ITAD","SLM","http://www.eolitservices.co.uk","","Maldon","Essex","England","Daniel Ainsworth","2"
"68","EPC Global Solutions UK Ltd.","Prospect","0","4","ITAD","","https://epcglobalsolutions.eu/","","","","","Daniel Ainsworth","5"
"69","ePOS Commerce Solutions Limited","Prospect","0","1","ITAD","","http://eposcommercesolutions.co.uk","","","","","Daniel Ainsworth","1"
"70","Equipment HQ Limited","Customer","0","1","ITAD","SLM","","","Bishops Stortford","","","Daniel Ainsworth","2"
"71","ETB Technologies Ltd","Customer","0","1","ITAD","SLM","","","Dalbeattie","Dumfries and Galloway","Scotland","Daniel Ainsworth","5"
"72","Euro Recycling. A Restore Technology Company","Unqualified","0","0","ITAD","","https://www.euro-recycling.co.uk/","","","","","Daniel Ainsworth","1"
"73","Excess IT Solutions LTD","Customer","1","0","ITAD","SLM","","","Telford","Telford and Wrekin","England","Daniel Ainsworth","1"
"74","Faulty console & gadget repair","Incorrect Profile","0","0","ITAD","","","","","","","Daniel Ainsworth","0"
"75","Fenemax Integrated Serv. Ltd","","0","0","ITAD","","","","Caterham","","","Daniel Ainsworth","0"
"77","FGD Solutions Ltd (Vyta)","","0","0","ITAD","SLM","","","Chelmsford","Essex","England","Daniel Ainsworth","1"
"79","Form IT Solutions","Unqualified","0","0","ITAD","","http://www.formits.com/","","","","","Daniel Ainsworth","2"
"80","GARC Ltd.","","0","0","ITAD","","","","Manchester","Greater Manchester","England","Daniel Ainsworth","0"
"81","Gigacycle","Prospect","0","0","ITAD","","www.ecosystems-group.co.uk","","","","","Daniel Ainsworth","3"
"82","Global EMEA","Incorrect Profile","0","0","","","","","","","","Daniel Ainsworth","1"
"83","GLOBAL RESALE LTD.","Warm lead","0","1","ITAD","SLM","","","ESSEX","Essex","England","Daniel Ainsworth","3"
"84","Global Weee Remarketing Ltd","","0","0","ITAD","SLM","","","Failsworth","Greater Manchester","England","Daniel Ainsworth","0"
"85","Green IT Disposal Ltd","","0","0","ITAD","","http://www.greenitdisposal.co.uk/","","","","","Daniel Ainsworth","1"
"86","GreensafeIT","","0","0","ITAD","","http://gsdisposals.com/","","","","","Daniel Ainsworth","0"
"87","Greenworld Technologies Ltd","Prospect","0","0","ITAD","SLM","https://www.greenworld.eu.com/","","Alsager","Cheshire East","England","Daniel Ainsworth","0"
"88","Harbour International Freight","Incorrect Profile","0","0","","","http://www.harbourfreight.co.uk","","","","","Daniel Ainsworth","1"
"89","Hardware Associates Ltd.","","0","0","ITAD","","","","Petworth","","District of Columbia","Daniel Ainsworth","0"
"91","Hitachi Vantara","","0","0","","","http://www.hitachivantara.com/","","","","","Daniel Ainsworth","1"
"92","Hitec Products Ltd","","0","0","ITAD","SLM","","","Kettering","Northamptonshire","England","Daniel Ainsworth","0"
"93","Hoxton Macs Ltd.","Prospect","0","2","ITAD","","https://www.hoxtonmacs.co.uk/","","Chelmsford","Essex","England","Daniel Ainsworth","2"
"94","i2 Global","","0","0","IT Service Provider","","https://i2-global.com/","","","","","Daniel Ainsworth","1"
"95","ICEX LTD","Warm lead","1","1","ITAD","","https://icex.co.uk/, https://austech.uk.net/","","Chelmsford","","","Daniel Ainsworth","4"
"96","ICT Reverse","Warm lead","1","0","ITAD","","https://ictreverse.com/","","Lancashire","Lancashire","England","Lasse Schriver Nielsen","7"
"97","Ikonic Technology Ltd.","Warm lead","0","0","ITAD","","http://www.ikonic.com","","Heywood","Greater Manchester","England","Daniel Ainsworth","4"
"98","IMEI Ltd.","Prospect","0","0","ITAD","","","","Harrow,Middlesex","Greater London","England","Daniel Ainsworth","0"
"99","INAP London Data Center","","0","0","Data Centre","","https://www.inap.com/","","","","","Daniel Ainsworth","0"
"100","Intelligent Storage Solutions Ltd.","Unqualified","0","0","ITAD","","http://www.iss-l.com","","Unit 18, Stirling Road Ind. Estate, Laverock Road, Airdrie, North Lanarkshire ML6 7UD","North Lanarkshire","Scotland","Daniel Ainsworth","1"
"101","International Copiers","Hot lead","0","0","ITAD","","","","","","","Daniel Ainsworth","4"
"102","Interxion - A Digital Realty Company - Connexion House","","0","0","Data Centre","","https://www.interxion.com/","","","","","Daniel Ainsworth","1"
"104","IT Business Group","Incorrect Profile","0","0","ITAD","","http://www.itbg.co.uk","","Unit 7, Marlborough Trading Estate, High Wycombe, Buckinghamshire HP11 2LB","Buckinghamshire","England","Daniel Ainsworth","2"
"105","IT Efficient T/A Restore Technology","Customer","0","0","ITAD","SLM","","","Shefford","Central Bedfordshire","England","Daniel Ainsworth","1"
"106","IT First Ltd","Prospect","0","0","IT Service Provider","","http://www.itfirst.co.uk/","","","","","Daniel Ainsworth","1"
"107","IT Hardware Hub Inc.","Prospect","0","0","ITAD","","ithardwarehub.com","","","","","Daniel Ainsworth","2"
"108","IT Recycle Hub Ltd.","Warm lead","0","0","ITAD","","","","Belton","Bell County","Texas","Daniel Ainsworth","1"
"109","Itad Ltd","Incorrect Profile","0","0","Corporate","","http://www.itad.com/","","","","","Daniel Ainsworth","2"
"110","Jadestone Traders LTD","Customer","0","1","ITAD","SLM","","","Newport","Newport County","Rhode Island","Daniel Ainsworth","1"
"113","KKI Computer Consultants","","0","0","ITAD","SLM","","","Manchester","Greater Manchester","England","Daniel Ainsworth","0"
"114","KOcycle","Warm lead","1","1","ITAD","","https://www.kocycle.com/","","","","","Daniel Ainsworth","4"
"115","Kyte IT Ltd","Customer","0","1","ITAD","SLM","https://kyteit.com/","","Harlow","","","Daniel Ainsworth","1"
"116","LA Direct Solutions","Fresh Data","0","0","ITAD","","https://www.lads.com","","Windsor, United Kingdom","Berkshire","England","Daniel Ainsworth","3"
"117","LA Micro Group (UK) Ltd.","Fresh Data","0","0","ITAD","","http://www.lamicro.co.uk","","Windsor, United Kingdom","Berkshire","England","Daniel Ainsworth","2"
"118","Rapid IT","Hot lead","1","0","ITAD","","https://rapidit.co.uk/","","Wyre Street, Padiham, Burnley, Lancashire BB12 8DF, United Kingdom","Lancashire","England","Daniel Ainsworth","5"
"119","Leaseweb UK Ltd.","Prospect","0","0","Data Centre","","https://www.leaseweb.com/","","","","","Daniel Ainsworth","1"
"120","Livingstone Group","Prospect","0","0","IT Service Provider","","http://www.livingstone-group.com","","","","","Daniel Ainsworth","1"
"121","London Computer Disposal Centre Ltd","Customer","0","1","ITAD","SLM","","","Wembley","Greater London","England","Daniel Ainsworth","1"
"122","LOOP8 LTD","","0","0","ITAD","SLM","","","Devon","Devon","England","Daniel Ainsworth","0"
"123","MAC ITAD / The Bookyard LTD","Prospect","0","1","ITAD","","https://www.macitad.com/","","","","","Daniel Ainsworth","3"
"124","MacRefresh Ltd","","0","0","ITAD","SLM","","","Ipswich","Suffolk","England","Daniel Ainsworth","0"
"125","Mazuma Mobile","","0","0","ITAD","SLM","","","Watford","","","Daniel Ainsworth","0"
"126","MBH Global Ltd","Warm lead","1","0","ITAD","","","","","","","Daniel Ainsworth","1"
"127","Microteam","Prospect","0","0","ITAD","","https://www.microteam.co.uk/","","","","","Daniel Ainsworth","4"
"128","MIDLANDS I.T. RECYCLING LTD t/as COMPUCLEAR","Warm lead","0","0","ITAD","","https://compu-clear.myshopify.com/","","","","","Daniel Ainsworth","2"
"129","Mobius Ltd.","","0","0","ITAD","","","","London","Greater London","England","Daniel Ainsworth","0"
"130","N2S Network 2 Supplies Ltd","Prospect","0","4","ITAD","","http://www.n2s.co.uk","","Bury St Edmunds","Suffolk","England","Daniel Ainsworth","6"
"131","Nanosoft Corporation Limited","Fresh Data","0","0","ITAD","","http://www.nanosoftltd.com","","Chelmsford","Essex","England","Daniel Ainsworth","1"
"132","NCC Group PLC","","0","0","ITAD","","https://www.nccgroupplc.com/our-office-locations/","","Cheltenham","Gloucestershire","England","Daniel Ainsworth","0"
"133","Intelligent Servers Limited","Prospect","0","1","ITAD","","https://intelligentservers.co.uk/","","HARROGATE","North Yorkshire","England","Daniel Ainsworth","1"
"134","OCM Business Systems Ltd","Customer","0","1","ITAD","SLM","http://www.ocmbiz.com/","","","","","Daniel Ainsworth","2"
"135","Oden Services UK Ltd","Hot lead","0","1","ITAD","","http://www.odenservicesuk.co.uk/","","","","","Daniel Ainsworth","2"
"136","One Managed Service","Prospect","0","0","IT Service Provider","","http://www.onems.co.uk/","","","","","Daniel Ainsworth","1"
"137","PC Renewed Limited","Prospect","0","1","ITAD","SLM","http://www.pcrenewed.co.uk","","Kenilworth","Warwickshire","England","Daniel Ainsworth","2"
"138","Perceptive IT","","0","0","ITAD","SLM","","","London","Greater London","England","Daniel Ainsworth","0"
"139","Premier IT Disposal","Customer","1","1","ITAD","","https://www.premieritdisposal.co.uk/","","","","","Daniel Ainsworth","3"
"140","PRIMARY ICT SUPPORT LTD","Prospect","0","2","ITAD","SLM","https://www.primaryictsupport.co.uk/","","LEEDS","West Yorkshire","England","Daniel Ainsworth","2"
"141","PRM Green Technologies","Incorrect Profile","0","0","ITAD","SLM","http://www.restore.co.uk/technology/prm-green-technologies","","","","","Daniel Ainsworth","2"
"142","Protech City","Warm lead","0","1","ITAD","","protechgroup.co","","Peterlee","County Durham","England","Daniel Ainsworth","1"
"144","PSA Parts Ltd.","Prospect","0","3","ITAD","","http://www.psaparts.co.uk","","2 Prince Georges Road Colliers Wood, London SW19 2PX GBR","Greater London","England","Daniel Ainsworth","3"
"145","PSGT","","0","0","ITAD","SLM","","","London","Greater London","England","Daniel Ainsworth","0"
"146","Pulsant Limited","Prospect","0","0","IT Service Provider","SLM","","","Linford Wood","Milton Keynes","England","Daniel Ainsworth","1"
"147","Pure IT - supplying Refurbished Computers & Laptops","Prospect","0","3","ITAD","","pureitrefurbished.co.uk","","Edinburgh","Edinburgh","Scotland","Daniel Ainsworth","3"
"148","Pyramid Distribution Ltd","","0","0","ITAD","","pyramid.co.uk","","St. Helens","","","Daniel Ainsworth","1"
"149","QINETIQ","Prospect","0","0","Corporate","","","","","","","Daniel Ainsworth","0"
"150","RDC","Prospect","0","2","ITAD","SLM","https://rdc.co.uk/","","Springwood Drive, CM7 2YN Braintree, England, United Kingdom","Essex","England","Daniel Ainsworth","2"
"151","Re-Tek UK Ltd","Prospect","0","5","ITAD","","https://www.re-tek.co.uk/, http://www.re-tek.co.uk","","2 Hurlawcrook Place, G75 0AP East Kilbride, Scotland, United Kingdom","South Lanarkshire","Scotland","Daniel Ainsworth","9"
"152","Reclaim-UK","Customer","0","0","ITAD","SLM","www.reclaim-uk.com","","","","","Daniel Ainsworth","2"
"153","Recycle IT UK","Warm lead","0","1","ITAD","SLM","https://www.recycleit.co.uk/","","Burnley","","","Daniel Ainsworth","3"
"155","Recycly Tech Ltd.","Fresh Data","0","0","ITAD","","http://www.recycly.tech","","Fraser House, Fraser Road, Erith, UK","Greater London","England","Daniel Ainsworth","2"
"156","Refurbia","Prospect","0","1","ITAD","","refurbia.co.uk","","Kent","","","Daniel Ainsworth","3"
"157","Remarketing International Ltd.","Cold lead","0","0","ITAD","SLM","","","Kent","","","Daniel Ainsworth","0"
"158","Remedy","Cold lead","0","0","ITAD","SLM","","","Peterborough","Peterborough","England","Daniel Ainsworth","0"
"159","Renewal North West","Customer","0","1","ITAD","SLM","","","Stockport","Greater Manchester","England","Daniel Ainsworth","1"
"160","Repurpose Group Ltd.","Warm lead","0","0","ITAD","SLM","","","London","Greater London","England","Daniel Ainsworth","1"
"161","Restore Technology","Warm lead","0","0","ITAD","SLM","https://www.restore.co.uk/Technology","","","","","Daniel Ainsworth","13"
"162","Reuse Network Ltd","Incorrect Profile","0","0","ITAD","SLM","","","Bristol","Bristol City","England","Daniel Ainsworth","0"
"163","Reuse Technology Group Limited","Prospect","0","1","ITAD","","https://reusetechgroup.com","","Unit D2 Thamesview Business Centre , RM13 8BT Rainham, Essex, United Kingdom","Greater London","England","Daniel Ainsworth","1"
"164","Revitalise IT Ltd.","Prospect","0","0","ITAD","","","","Shepperton","Surrey","England","Daniel Ainsworth","0"
"165","Revive IT Recycling Ltd","Warm lead","1","0","ITAD","SLM","","","Leeds","","","Daniel Ainsworth","4"
"166","S2S Group","Hot lead","1","1","ITAD","","http://s2s.uk.com/","","","","","Daniel Ainsworth","4"
"167","SawiTECH","Customer","0","2","ITAD","SLM","","","Coventry","West Midlands","England","Daniel Ainsworth","1"
"168","SE Recycling Ltd","Warm lead","0","1","ITAD","","https://www.ser-limited.com/","","","","","Daniel Ainsworth","3"
"169","Secure Data Recycling","Prospect","0","3","ITAD","SLM","http://www.sdr.co.uk/","","Holmes Chapel","Cheshire East","England","Daniel Ainsworth","5"
"170","Secure IT Recycling LTD","Lapsed Customer","0","0","ITAD","SLM","","","Basingstoke","Hampshire","England","Daniel Ainsworth","1"
"171","Secure IT Services Ltd","Warm lead","1","0","ITAD","","http://secureitad.co.uk/","","","","","Daniel Ainsworth","3"
"173","Servero","Warm lead","0","1","ITAD","","https://www.servero.co.uk/","","","","","Daniel Ainsworth","1"
"175","Shred Station Ltd","Prospect","0","2","ITAD","","https://www.shredstation.co.uk","","","","","Daniel Ainsworth","2"
"176","Signals IT Limited","Lapsed Customer","0","1","ITAD","SLM","","","Manchester","Greater Manchester","England","Daniel Ainsworth","1"
"177","Sims Lifecycle Services UK","Prospect","0","1","ITAD","","","","Manchester","Greater Manchester","England","Daniel Ainsworth","2"
"178","SISL Infotech (UK) LTD","Warm lead","0","0","ITAD","SLM","","","Uxbridge","Worcester County","Massachusetts","Daniel Ainsworth","1"
"179","Skytech Solutions Ltd","Prospect","0","1","ITAD","","","","Birmingham","","","Daniel Ainsworth","1"
"180","Sonet Complete Data Solutions","","0","0","ITAD","","","","Lisburn","Lisburn and Castlereagh","Northern Ireland","Daniel Ainsworth","0"
"181","SP COMMISSIONING","Customer","1","0","ITAD","SLM","","","Dormansland","Surrey","England","Daniel Ainsworth","2"
"182","Spartan Circular Ltd","Prospect","0","1","ITAD","","http://www.spartancircular.com","","Unit 36, Rumer Hill Business Estate, Rumer Hill Road, Cannock, Staffordshire WS11 0ET","Staffordshire","England","Daniel Ainsworth","1"
"183","Spinnaker Waste Management LTD (Restore)","","0","0","ITAD","SLM","","","London","Greater London","England","Daniel Ainsworth","0"
"184","Spotbuyer Group","Warm lead","0","0","ITAD","SLM","","","Sutton Coldfield","","","Daniel Ainsworth","1"
"185","Stevens IT Solutions","Prospect","0","0","IT Service Provider","SLM","","","","","","Daniel Ainsworth","0"
"186","STF Property Maintenance","Incorrect Profile","0","0","ITAD","SLM","","","Preston","","","Daniel Ainsworth","0"
"187","Stone Group","Prospect","0","1","ITAD","","http://www.stonegroup.co.uk/","","","","","Daniel Ainsworth","3"
"188","STRIDER IT SOLUTIONS LIMITED","Customer","0","0","ITAD","SLM","https://strideritsolutions.co.uk/","","Milton Keynes","Milton Keynes","England","Daniel Ainsworth","0"
"189","Sungard Availability Services","Prospect","0","0","ITAD","","http://www.sungardas.co.uk/","","","","","Daniel Ainsworth","2"
"190","SYNERGI IT","Prospect","0","0","IT Service Provider","","https://www.synergiitsystems.co.uk/","","","","","Daniel Ainsworth","0"
"191","System Supply Industries Limited","Customer","0","1","ITAD","SLM","http://www.systems2u.com","","East Challow","Oxfordshire","England","Daniel Ainsworth","4"
"192","T&M Reuse Yorkshire Ltd","Warm lead","0","0","ITAD","SLM","","","Leeds","West Yorkshire","England","Daniel Ainsworth","1"
"193","TD SYNNEX North America","Prospect","0","0","ITAD","","tdsynnex.com","","5350 Tech Data Dr,, 33760 Clearwater, Florida, United States","","","Daniel Ainsworth","1"
"194","Team ITAD","Unqualified","0","0","ITAD","","","","","","","Daniel Ainsworth","0"
"195","TEC-IT-OUT LTD","","0","0","ITAD","SLM","https://tec-it-out.co.uk/","","Dukinfield","Greater Manchester","England","Daniel Ainsworth","0"
"196","Tecbox","Prospect","0","1","ITAD","","intellicocare.com","","Bristol","Bristol City","England","Daniel Ainsworth","1"
"197","Techbuyer Europe","Prospect","0","0","ITAD","","https://www.techbuyer.com/uk/certified-data-erasure","","Harrogate","North Yorkshire","England","Daniel Ainsworth","0"
"198","Technimove","Use another supplier","0","4","ITAD","","https://technimove.com/","","Technimove House, Spifire Business Park, Croydon, Surrey CR04WD","Surrey","England","Daniel Ainsworth","5"
"199","Technology Supplies International Ltd","","0","0","ITAD","","","","Glasgow","Glasgow City","Scotland","Daniel Ainsworth","0"
"200","Techsel Ltd","Customer","0","0","ITAD","SLM","techsel.co.uk","","Warrington","","","Daniel Ainsworth","2"
"201","Techtrus Ltd","Prospect","0","0","ITAD","","http://techtrus.com/","","","","","Daniel Ainsworth","0"
"202","Tectra Technologies Ltd","Customer","0","1","ITAD","SLM","","","Swindon","Swindon","England","Daniel Ainsworth","2"
"203","Service Express","Prospect","0","1","ITAD, Data Centre","SLM","https://serviceexpress.com/service-express-acquires-the-icc-group/, https://serviceexpress.com/","","Wetherby","West Yorkshire","England","Daniel Ainsworth","4"
"205","The IT Recycling Company Ltd","Warm lead","0","1","ITAD","","http://www.itrecycling.uk.com/","","","","","Daniel Ainsworth","1"
"206","The Lone Coder","Unqualified","0","0","","","http://the-lone-coder.co.nf/","","","","","Daniel Ainsworth","0"
"207","The Recycled Assets Company Ltd","Customer","0","1","ITAD","SLM","","","Portsmouth","Rockingham County","New Hampshire","Daniel Ainsworth","1"
"208","TIER 1","Warm lead","0","0","ITAD","","http://www.tier1.com","","59 Stanley Road, Whitefield, Manchester, M45 8GZ","Greater Manchester","England","Daniel Ainsworth","7"
"209","Tills Direct Ltd","Customer","0","0","ITAD","","https://tills-direct.com/","","","","","Daniel Ainsworth","1"
"210","TradologyUK Ltd","Warm lead","0","1","ITAD","","http://www.tradologyuk.co.uk/","","","","","Daniel Ainsworth","1"
"211","UCAN RECYCLING CIC","Hot lead","1","1","ITAD","","","","Bradford","West Yorkshire","England","Daniel Ainsworth","4"
"212","Uniq Recycling Ltd","Warm lead","0","0","ITAD","","","","Burton on Trent","Staffordshire","England","Daniel Ainsworth","1"
"214","Veritas Digital Services Ltd","Prospect","0","1","ITAD","SLM","http://www.veritasdigital.co.uk","","Histon","Cambridgeshire","England","Daniel Ainsworth","1"
"215","VFM Recovery Ltd.","Prospect","0","1","ITAD","SLM","","","Buckinghamshire","","England","Daniel Ainsworth","1"
"216","Vyta","Use another supplier","0","0","ITAD","","https://vyta.com/, https://www.smsrecycling.co.uk/","","","","","Daniel Ainsworth","9"
"217","Wcapr","","0","0","ITAD","","","","Kidderminster","Worcestershire","England","Daniel Ainsworth","0"
"219","Wil-Tech LTD","Cold lead","0","0","ITAD","SLM","","","Fichampstead","Berkshire","England","Daniel Ainsworth","0"
"220","Workplace IT Technologies Limited","Prospect","0","0","IT Service Provider","","http://www.workplaceit.co.uk/","","","","","Daniel Ainsworth","1"
"221","Wunelli, a LexisNexis Company","Prospect","0","0","Corporate","","http://www.wunelli.com/","","","","","Daniel Ainsworth","0"
"222","XPO IT Services Ltd","Warm lead","1","0","ITAD","SLM","xpoitservices.co.uk","","Shropshire","","England","Daniel Ainsworth","4"
